"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[1,2,1]",0.842,0.032,0.768,0.824,0.845,0.865,0.892,1.022,95
"PS1[2,2,1]",0.904,0.023,0.85,0.892,0.906,0.919,0.939,1.095,29
"PS1[3,2,1]",0.892,0.022,0.844,0.878,0.894,0.908,0.933,1.032,70
"PS1[4,2,1]",0.909,0.02,0.865,0.896,0.909,0.923,0.944,1.064,50
"PS1[5,2,1]",0.844,0.038,0.761,0.821,0.848,0.871,0.906,1.016,210
"PS1[6,2,1]",0.887,0.024,0.842,0.872,0.888,0.902,0.935,1.082,30
"PS1[7,2,1]",0.876,0.025,0.817,0.863,0.878,0.893,0.919,1.027,81
"PS1[8,2,1]",0.85,0.034,0.773,0.83,0.853,0.873,0.909,1.015,940
"PS1[9,2,1]",0.885,0.025,0.83,0.869,0.887,0.902,0.93,1.036,80
"PS1[10,2,1]",0.84,0.038,0.759,0.815,0.845,0.868,0.902,1.005,940
"PS1[11,2,1]",0.834,0.034,0.76,0.814,0.837,0.857,0.897,1.098,25
"PS1[12,2,1]",0.874,0.026,0.82,0.857,0.876,0.892,0.92,1.028,130
"PS1[13,2,1]",0.824,0.036,0.733,0.807,0.827,0.846,0.886,1.01,1300
"PS1[14,2,1]",0.799,0.037,0.712,0.776,0.804,0.826,0.86,1.014,840
"PS1[15,2,1]",0.864,0.033,0.784,0.845,0.867,0.885,0.924,1.212,14
"PS1[16,2,1]",0.82,0.038,0.732,0.8,0.825,0.847,0.882,1.033,68
"PS1[17,2,1]",0.847,0.037,0.767,0.824,0.851,0.874,0.909,1.012,200
"PS1[18,2,1]",0.83,0.043,0.731,0.806,0.836,0.861,0.896,1.005,440
"PS1[19,2,1]",0.892,0.022,0.846,0.878,0.894,0.908,0.929,1.011,470
"PS1[20,2,1]",0.845,0.035,0.767,0.826,0.85,0.868,0.904,1.011,350
"PS1[21,2,1]",0.843,0.033,0.775,0.822,0.844,0.867,0.898,1.023,120
"PS1[22,2,1]",0.874,0.036,0.794,0.852,0.878,0.901,0.933,1.092,27
"PS1[23,2,1]",0.835,0.032,0.763,0.816,0.839,0.857,0.889,1.015,220
"PS1[24,2,1]",0.834,0.035,0.758,0.813,0.836,0.859,0.892,1.049,52
"PS1[25,2,1]",0.866,0.028,0.807,0.848,0.868,0.885,0.916,1.079,31
"PS1[26,2,1]",0.86,0.029,0.793,0.844,0.863,0.881,0.908,1.052,64
